genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,F0,F1,F2
62,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
63,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
64,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
65,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
66,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
67,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
68,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
69,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
70,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
71,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
